dataset,split,sample_id,method,routing_precision,routing_recall,routing_f1,routing_tp,routing_fp,routing_fn,routing_coverage,routing_reason
mathdial,test,mathdial:c675820a6ed81635727a,fixed_4__noise0p2__budget1000,0.8,1.0,0.888888888888889,4,1,0,1.0,set_overlap
mathdial,test,mathdial:c675820a6ed81635727a,fixed_4__noise0p2__budget2000,0.8,1.0,0.888888888888889,4,1,0,1.0,set_overlap
mathdial,test,mathdial:c675820a6ed81635727a,fixed_4__noise0p2__budget4000,0.8,1.0,0.888888888888889,4,1,0,1.0,set_overlap
mathdial,test,mathdial:c675820a6ed81635727a,fixed_4__noise0p4__budget1000,0.8,1.0,0.888888888888889,4,1,0,1.0,set_overlap
mathdial,test,mathdial:c675820a6ed81635727a,fixed_4__noise0p4__budget2000,0.8,1.0,0.888888888888889,4,1,0,1.0,set_overlap
mathdial,test,mathdial:c675820a6ed81635727a,fixed_4__noise0p4__budget4000,0.8,1.0,0.888888888888889,4,1,0,1.0,set_overlap
mathdial,test,mathdial:c675820a6ed81635727a,debate__noise0p2__budget1000,0.2,0.25,0.22222222222222224,1,4,3,1.0,set_overlap
mathdial,test,mathdial:c675820a6ed81635727a,debate__noise0p2__budget2000,0.2,0.25,0.22222222222222224,1,4,3,1.0,set_overlap
mathdial,test,mathdial:c675820a6ed81635727a,debate__noise0p2__budget4000,0.2,0.25,0.22222222222222224,1,4,3,1.0,set_overlap
mathdial,test,mathdial:c675820a6ed81635727a,debate__noise0p4__budget1000,0.2,0.25,0.22222222222222224,1,4,3,1.0,set_overlap
mathdial,test,mathdial:c675820a6ed81635727a,debate__noise0p4__budget2000,0.2,0.25,0.22222222222222224,1,4,3,1.0,set_overlap
mathdial,test,mathdial:c675820a6ed81635727a,debate__noise0p4__budget4000,0.2,0.25,0.22222222222222224,1,4,3,1.0,set_overlap
mathdial,test,mathdial:c675820a6ed81635727a,generic_sparse__noise0p2__budget1000,0.75,0.75,0.75,3,1,1,1.0,set_overlap
mathdial,test,mathdial:c675820a6ed81635727a,generic_sparse__noise0p2__budget2000,0.75,0.75,0.75,3,1,1,1.0,set_overlap
mathdial,test,mathdial:c675820a6ed81635727a,generic_sparse__noise0p2__budget4000,0.75,0.75,0.75,3,1,1,1.0,set_overlap
mathdial,test,mathdial:c675820a6ed81635727a,generic_sparse__noise0p4__budget1000,0.75,0.75,0.75,3,1,1,1.0,set_overlap
mathdial,test,mathdial:c675820a6ed81635727a,generic_sparse__noise0p4__budget2000,0.75,0.75,0.75,3,1,1,1.0,set_overlap
mathdial,test,mathdial:c675820a6ed81635727a,generic_sparse__noise0p4__budget4000,0.75,0.75,0.75,3,1,1,1.0,set_overlap
mathdial,test,mathdial:c675820a6ed81635727a,ours_full__noise0p2__budget1000,0.8,1.0,0.888888888888889,4,1,0,1.0,set_overlap
mathdial,test,mathdial:c675820a6ed81635727a,ours_full__noise0p2__budget2000,0.8,1.0,0.888888888888889,4,1,0,1.0,set_overlap
mathdial,test,mathdial:c675820a6ed81635727a,ours_full__noise0p2__budget4000,0.8,1.0,0.888888888888889,4,1,0,1.0,set_overlap
mathdial,test,mathdial:c675820a6ed81635727a,ours_full__noise0p4__budget1000,0.8,1.0,0.888888888888889,4,1,0,1.0,set_overlap
mathdial,test,mathdial:c675820a6ed81635727a,ours_full__noise0p4__budget2000,0.8,1.0,0.888888888888889,4,1,0,1.0,set_overlap
mathdial,test,mathdial:c675820a6ed81635727a,ours_full__noise0p4__budget4000,0.8,1.0,0.888888888888889,4,1,0,1.0,set_overlap
bridge,test,bridge:0077886b13417d2402a9,fixed_4__noise0p2__budget1000,0.8,1.0,0.888888888888889,4,1,0,1.0,set_overlap
bridge,test,bridge:0077886b13417d2402a9,fixed_4__noise0p2__budget2000,0.8,1.0,0.888888888888889,4,1,0,1.0,set_overlap
bridge,test,bridge:0077886b13417d2402a9,fixed_4__noise0p2__budget4000,0.8,1.0,0.888888888888889,4,1,0,1.0,set_overlap
bridge,test,bridge:0077886b13417d2402a9,fixed_4__noise0p4__budget1000,0.8,1.0,0.888888888888889,4,1,0,1.0,set_overlap
bridge,test,bridge:0077886b13417d2402a9,fixed_4__noise0p4__budget2000,0.8,1.0,0.888888888888889,4,1,0,1.0,set_overlap
bridge,test,bridge:0077886b13417d2402a9,fixed_4__noise0p4__budget4000,0.8,1.0,0.888888888888889,4,1,0,1.0,set_overlap
bridge,test,bridge:0077886b13417d2402a9,debate__noise0p2__budget1000,0.2,0.25,0.22222222222222224,1,4,3,1.0,set_overlap
bridge,test,bridge:0077886b13417d2402a9,debate__noise0p2__budget2000,0.2,0.25,0.22222222222222224,1,4,3,1.0,set_overlap
bridge,test,bridge:0077886b13417d2402a9,debate__noise0p2__budget4000,0.2,0.25,0.22222222222222224,1,4,3,1.0,set_overlap
bridge,test,bridge:0077886b13417d2402a9,debate__noise0p4__budget1000,0.2,0.25,0.22222222222222224,1,4,3,1.0,set_overlap
bridge,test,bridge:0077886b13417d2402a9,debate__noise0p4__budget2000,0.2,0.25,0.22222222222222224,1,4,3,1.0,set_overlap
bridge,test,bridge:0077886b13417d2402a9,debate__noise0p4__budget4000,0.2,0.25,0.22222222222222224,1,4,3,1.0,set_overlap
bridge,test,bridge:0077886b13417d2402a9,generic_sparse__noise0p2__budget1000,0.75,0.75,0.75,3,1,1,1.0,set_overlap
bridge,test,bridge:0077886b13417d2402a9,generic_sparse__noise0p2__budget2000,0.75,0.75,0.75,3,1,1,1.0,set_overlap
bridge,test,bridge:0077886b13417d2402a9,generic_sparse__noise0p2__budget4000,0.75,0.75,0.75,3,1,1,1.0,set_overlap
bridge,test,bridge:0077886b13417d2402a9,generic_sparse__noise0p4__budget1000,0.75,0.75,0.75,3,1,1,1.0,set_overlap
bridge,test,bridge:0077886b13417d2402a9,generic_sparse__noise0p4__budget2000,0.75,0.75,0.75,3,1,1,1.0,set_overlap
bridge,test,bridge:0077886b13417d2402a9,generic_sparse__noise0p4__budget4000,0.75,0.75,0.75,3,1,1,1.0,set_overlap
bridge,test,bridge:0077886b13417d2402a9,ours_full__noise0p2__budget1000,0.8,1.0,0.888888888888889,4,1,0,1.0,set_overlap
bridge,test,bridge:0077886b13417d2402a9,ours_full__noise0p2__budget2000,0.8,1.0,0.888888888888889,4,1,0,1.0,set_overlap
bridge,test,bridge:0077886b13417d2402a9,ours_full__noise0p2__budget4000,0.8,1.0,0.888888888888889,4,1,0,1.0,set_overlap
bridge,test,bridge:0077886b13417d2402a9,ours_full__noise0p4__budget1000,0.8,1.0,0.888888888888889,4,1,0,1.0,set_overlap
bridge,test,bridge:0077886b13417d2402a9,ours_full__noise0p4__budget2000,0.8,1.0,0.888888888888889,4,1,0,1.0,set_overlap
bridge,test,bridge:0077886b13417d2402a9,ours_full__noise0p4__budget4000,0.8,1.0,0.888888888888889,4,1,0,1.0,set_overlap
misconception,test,misconception:01174ae669e93eec6ce2,fixed_4__noise0p2__budget1000,0.8,1.0,0.888888888888889,4,1,0,1.0,set_overlap
misconception,test,misconception:01174ae669e93eec6ce2,fixed_4__noise0p2__budget2000,0.8,1.0,0.888888888888889,4,1,0,1.0,set_overlap
misconception,test,misconception:01174ae669e93eec6ce2,fixed_4__noise0p2__budget4000,0.8,1.0,0.888888888888889,4,1,0,1.0,set_overlap
misconception,test,misconception:01174ae669e93eec6ce2,fixed_4__noise0p4__budget1000,0.8,1.0,0.888888888888889,4,1,0,1.0,set_overlap
misconception,test,misconception:01174ae669e93eec6ce2,fixed_4__noise0p4__budget2000,0.8,1.0,0.888888888888889,4,1,0,1.0,set_overlap
misconception,test,misconception:01174ae669e93eec6ce2,fixed_4__noise0p4__budget4000,0.8,1.0,0.888888888888889,4,1,0,1.0,set_overlap
misconception,test,misconception:01174ae669e93eec6ce2,debate__noise0p2__budget1000,0.2,0.25,0.22222222222222224,1,4,3,1.0,set_overlap
misconception,test,misconception:01174ae669e93eec6ce2,debate__noise0p2__budget2000,0.2,0.25,0.22222222222222224,1,4,3,1.0,set_overlap
misconception,test,misconception:01174ae669e93eec6ce2,debate__noise0p2__budget4000,0.2,0.25,0.22222222222222224,1,4,3,1.0,set_overlap
misconception,test,misconception:01174ae669e93eec6ce2,debate__noise0p4__budget1000,0.2,0.25,0.22222222222222224,1,4,3,1.0,set_overlap
misconception,test,misconception:01174ae669e93eec6ce2,debate__noise0p4__budget2000,0.2,0.25,0.22222222222222224,1,4,3,1.0,set_overlap
misconception,test,misconception:01174ae669e93eec6ce2,debate__noise0p4__budget4000,0.2,0.25,0.22222222222222224,1,4,3,1.0,set_overlap
misconception,test,misconception:01174ae669e93eec6ce2,generic_sparse__noise0p2__budget1000,0.5,0.5,0.5,2,2,2,1.0,set_overlap
misconception,test,misconception:01174ae669e93eec6ce2,generic_sparse__noise0p2__budget2000,0.5,0.5,0.5,2,2,2,1.0,set_overlap
misconception,test,misconception:01174ae669e93eec6ce2,generic_sparse__noise0p2__budget4000,0.5,0.5,0.5,2,2,2,1.0,set_overlap
misconception,test,misconception:01174ae669e93eec6ce2,generic_sparse__noise0p4__budget1000,0.5,0.5,0.5,2,2,2,1.0,set_overlap
misconception,test,misconception:01174ae669e93eec6ce2,generic_sparse__noise0p4__budget2000,0.5,0.5,0.5,2,2,2,1.0,set_overlap
misconception,test,misconception:01174ae669e93eec6ce2,generic_sparse__noise0p4__budget4000,0.5,0.5,0.5,2,2,2,1.0,set_overlap
misconception,test,misconception:01174ae669e93eec6ce2,ours_full__noise0p2__budget1000,0.8,1.0,0.888888888888889,4,1,0,1.0,set_overlap
misconception,test,misconception:01174ae669e93eec6ce2,ours_full__noise0p2__budget2000,0.8,1.0,0.888888888888889,4,1,0,1.0,set_overlap
misconception,test,misconception:01174ae669e93eec6ce2,ours_full__noise0p2__budget4000,0.8,1.0,0.888888888888889,4,1,0,1.0,set_overlap
misconception,test,misconception:01174ae669e93eec6ce2,ours_full__noise0p4__budget1000,0.8,1.0,0.888888888888889,4,1,0,1.0,set_overlap
misconception,test,misconception:01174ae669e93eec6ce2,ours_full__noise0p4__budget2000,0.8,1.0,0.888888888888889,4,1,0,1.0,set_overlap
misconception,test,misconception:01174ae669e93eec6ce2,ours_full__noise0p4__budget4000,0.8,1.0,0.888888888888889,4,1,0,1.0,set_overlap
mathdial,test,mathdial:41e862e9c1ca7d0d9919,fixed_4__noise0p2__budget1000,0.8,1.0,0.888888888888889,4,1,0,1.0,set_overlap
mathdial,test,mathdial:41e862e9c1ca7d0d9919,fixed_4__noise0p2__budget2000,0.8,1.0,0.888888888888889,4,1,0,1.0,set_overlap
mathdial,test,mathdial:41e862e9c1ca7d0d9919,fixed_4__noise0p2__budget4000,0.8,1.0,0.888888888888889,4,1,0,1.0,set_overlap
mathdial,test,mathdial:41e862e9c1ca7d0d9919,fixed_4__noise0p4__budget1000,0.8,1.0,0.888888888888889,4,1,0,1.0,set_overlap
mathdial,test,mathdial:41e862e9c1ca7d0d9919,fixed_4__noise0p4__budget2000,0.8,1.0,0.888888888888889,4,1,0,1.0,set_overlap
mathdial,test,mathdial:41e862e9c1ca7d0d9919,fixed_4__noise0p4__budget4000,0.8,1.0,0.888888888888889,4,1,0,1.0,set_overlap
mathdial,test,mathdial:41e862e9c1ca7d0d9919,debate__noise0p2__budget1000,0.2,0.25,0.22222222222222224,1,4,3,1.0,set_overlap
mathdial,test,mathdial:41e862e9c1ca7d0d9919,debate__noise0p2__budget2000,0.2,0.25,0.22222222222222224,1,4,3,1.0,set_overlap
mathdial,test,mathdial:41e862e9c1ca7d0d9919,debate__noise0p2__budget4000,0.2,0.25,0.22222222222222224,1,4,3,1.0,set_overlap
mathdial,test,mathdial:41e862e9c1ca7d0d9919,debate__noise0p4__budget1000,0.2,0.25,0.22222222222222224,1,4,3,1.0,set_overlap
mathdial,test,mathdial:41e862e9c1ca7d0d9919,debate__noise0p4__budget2000,0.2,0.25,0.22222222222222224,1,4,3,1.0,set_overlap
mathdial,test,mathdial:41e862e9c1ca7d0d9919,debate__noise0p4__budget4000,0.2,0.25,0.22222222222222224,1,4,3,1.0,set_overlap
mathdial,test,mathdial:41e862e9c1ca7d0d9919,generic_sparse__noise0p2__budget1000,0.75,0.75,0.75,3,1,1,1.0,set_overlap
mathdial,test,mathdial:41e862e9c1ca7d0d9919,generic_sparse__noise0p2__budget2000,0.75,0.75,0.75,3,1,1,1.0,set_overlap
mathdial,test,mathdial:41e862e9c1ca7d0d9919,generic_sparse__noise0p2__budget4000,0.75,0.75,0.75,3,1,1,1.0,set_overlap
mathdial,test,mathdial:41e862e9c1ca7d0d9919,generic_sparse__noise0p4__budget1000,0.75,0.75,0.75,3,1,1,1.0,set_overlap
mathdial,test,mathdial:41e862e9c1ca7d0d9919,generic_sparse__noise0p4__budget2000,0.75,0.75,0.75,3,1,1,1.0,set_overlap
mathdial,test,mathdial:41e862e9c1ca7d0d9919,generic_sparse__noise0p4__budget4000,0.75,0.75,0.75,3,1,1,1.0,set_overlap
mathdial,test,mathdial:41e862e9c1ca7d0d9919,ours_full__noise0p2__budget1000,0.8,1.0,0.888888888888889,4,1,0,1.0,set_overlap
mathdial,test,mathdial:41e862e9c1ca7d0d9919,ours_full__noise0p2__budget2000,0.8,1.0,0.888888888888889,4,1,0,1.0,set_overlap
mathdial,test,mathdial:41e862e9c1ca7d0d9919,ours_full__noise0p2__budget4000,0.8,1.0,0.888888888888889,4,1,0,1.0,set_overlap
mathdial,test,mathdial:41e862e9c1ca7d0d9919,ours_full__noise0p4__budget1000,0.8,1.0,0.888888888888889,4,1,0,1.0,set_overlap
mathdial,test,mathdial:41e862e9c1ca7d0d9919,ours_full__noise0p4__budget2000,0.8,1.0,0.888888888888889,4,1,0,1.0,set_overlap
mathdial,test,mathdial:41e862e9c1ca7d0d9919,ours_full__noise0p4__budget4000,0.8,1.0,0.888888888888889,4,1,0,1.0,set_overlap
bridge,test,bridge:01e9a977bd9a65ca99fb,fixed_4__noise0p2__budget1000,0.8,1.0,0.888888888888889,4,1,0,1.0,set_overlap
bridge,test,bridge:01e9a977bd9a65ca99fb,fixed_4__noise0p2__budget2000,0.8,1.0,0.888888888888889,4,1,0,1.0,set_overlap
bridge,test,bridge:01e9a977bd9a65ca99fb,fixed_4__noise0p2__budget4000,0.8,1.0,0.888888888888889,4,1,0,1.0,set_overlap
bridge,test,bridge:01e9a977bd9a65ca99fb,fixed_4__noise0p4__budget1000,0.8,1.0,0.888888888888889,4,1,0,1.0,set_overlap
bridge,test,bridge:01e9a977bd9a65ca99fb,fixed_4__noise0p4__budget2000,0.8,1.0,0.888888888888889,4,1,0,1.0,set_overlap
bridge,test,bridge:01e9a977bd9a65ca99fb,fixed_4__noise0p4__budget4000,0.8,1.0,0.888888888888889,4,1,0,1.0,set_overlap
bridge,test,bridge:01e9a977bd9a65ca99fb,debate__noise0p2__budget1000,0.2,0.25,0.22222222222222224,1,4,3,1.0,set_overlap
bridge,test,bridge:01e9a977bd9a65ca99fb,debate__noise0p2__budget2000,0.2,0.25,0.22222222222222224,1,4,3,1.0,set_overlap
bridge,test,bridge:01e9a977bd9a65ca99fb,debate__noise0p2__budget4000,0.2,0.25,0.22222222222222224,1,4,3,1.0,set_overlap
bridge,test,bridge:01e9a977bd9a65ca99fb,debate__noise0p4__budget1000,0.2,0.25,0.22222222222222224,1,4,3,1.0,set_overlap
bridge,test,bridge:01e9a977bd9a65ca99fb,debate__noise0p4__budget2000,0.2,0.25,0.22222222222222224,1,4,3,1.0,set_overlap
bridge,test,bridge:01e9a977bd9a65ca99fb,debate__noise0p4__budget4000,0.2,0.25,0.22222222222222224,1,4,3,1.0,set_overlap
bridge,test,bridge:01e9a977bd9a65ca99fb,generic_sparse__noise0p2__budget1000,0.75,0.75,0.75,3,1,1,1.0,set_overlap
bridge,test,bridge:01e9a977bd9a65ca99fb,generic_sparse__noise0p2__budget2000,0.75,0.75,0.75,3,1,1,1.0,set_overlap
bridge,test,bridge:01e9a977bd9a65ca99fb,generic_sparse__noise0p2__budget4000,0.75,0.75,0.75,3,1,1,1.0,set_overlap
bridge,test,bridge:01e9a977bd9a65ca99fb,generic_sparse__noise0p4__budget1000,0.75,0.75,0.75,3,1,1,1.0,set_overlap
bridge,test,bridge:01e9a977bd9a65ca99fb,generic_sparse__noise0p4__budget2000,0.75,0.75,0.75,3,1,1,1.0,set_overlap
bridge,test,bridge:01e9a977bd9a65ca99fb,generic_sparse__noise0p4__budget4000,0.75,0.75,0.75,3,1,1,1.0,set_overlap
bridge,test,bridge:01e9a977bd9a65ca99fb,ours_full__noise0p2__budget1000,0.8,1.0,0.888888888888889,4,1,0,1.0,set_overlap
bridge,test,bridge:01e9a977bd9a65ca99fb,ours_full__noise0p2__budget2000,0.8,1.0,0.888888888888889,4,1,0,1.0,set_overlap
bridge,test,bridge:01e9a977bd9a65ca99fb,ours_full__noise0p2__budget4000,0.8,1.0,0.888888888888889,4,1,0,1.0,set_overlap
bridge,test,bridge:01e9a977bd9a65ca99fb,ours_full__noise0p4__budget1000,0.8,1.0,0.888888888888889,4,1,0,1.0,set_overlap
bridge,test,bridge:01e9a977bd9a65ca99fb,ours_full__noise0p4__budget2000,0.8,1.0,0.888888888888889,4,1,0,1.0,set_overlap
bridge,test,bridge:01e9a977bd9a65ca99fb,ours_full__noise0p4__budget4000,0.8,1.0,0.888888888888889,4,1,0,1.0,set_overlap
misconception,test,misconception:01f7370dbcee577f0994,fixed_4__noise0p2__budget1000,0.8,1.0,0.888888888888889,4,1,0,1.0,set_overlap
misconception,test,misconception:01f7370dbcee577f0994,fixed_4__noise0p2__budget2000,0.8,1.0,0.888888888888889,4,1,0,1.0,set_overlap
misconception,test,misconception:01f7370dbcee577f0994,fixed_4__noise0p2__budget4000,0.8,1.0,0.888888888888889,4,1,0,1.0,set_overlap
misconception,test,misconception:01f7370dbcee577f0994,fixed_4__noise0p4__budget1000,0.8,1.0,0.888888888888889,4,1,0,1.0,set_overlap
misconception,test,misconception:01f7370dbcee577f0994,fixed_4__noise0p4__budget2000,0.8,1.0,0.888888888888889,4,1,0,1.0,set_overlap
misconception,test,misconception:01f7370dbcee577f0994,fixed_4__noise0p4__budget4000,0.8,1.0,0.888888888888889,4,1,0,1.0,set_overlap
misconception,test,misconception:01f7370dbcee577f0994,debate__noise0p2__budget1000,0.2,0.25,0.22222222222222224,1,4,3,1.0,set_overlap
misconception,test,misconception:01f7370dbcee577f0994,debate__noise0p2__budget2000,0.2,0.25,0.22222222222222224,1,4,3,1.0,set_overlap
misconception,test,misconception:01f7370dbcee577f0994,debate__noise0p2__budget4000,0.2,0.25,0.22222222222222224,1,4,3,1.0,set_overlap
misconception,test,misconception:01f7370dbcee577f0994,debate__noise0p4__budget1000,0.2,0.25,0.22222222222222224,1,4,3,1.0,set_overlap
misconception,test,misconception:01f7370dbcee577f0994,debate__noise0p4__budget2000,0.2,0.25,0.22222222222222224,1,4,3,1.0,set_overlap
misconception,test,misconception:01f7370dbcee577f0994,debate__noise0p4__budget4000,0.2,0.25,0.22222222222222224,1,4,3,1.0,set_overlap
misconception,test,misconception:01f7370dbcee577f0994,generic_sparse__noise0p2__budget1000,0.5,0.5,0.5,2,2,2,1.0,set_overlap
misconception,test,misconception:01f7370dbcee577f0994,generic_sparse__noise0p2__budget2000,0.5,0.5,0.5,2,2,2,1.0,set_overlap
misconception,test,misconception:01f7370dbcee577f0994,generic_sparse__noise0p2__budget4000,0.5,0.5,0.5,2,2,2,1.0,set_overlap
misconception,test,misconception:01f7370dbcee577f0994,generic_sparse__noise0p4__budget1000,0.5,0.5,0.5,2,2,2,1.0,set_overlap
misconception,test,misconception:01f7370dbcee577f0994,generic_sparse__noise0p4__budget2000,0.5,0.5,0.5,2,2,2,1.0,set_overlap
misconception,test,misconception:01f7370dbcee577f0994,generic_sparse__noise0p4__budget4000,0.5,0.5,0.5,2,2,2,1.0,set_overlap
misconception,test,misconception:01f7370dbcee577f0994,ours_full__noise0p2__budget1000,0.8,1.0,0.888888888888889,4,1,0,1.0,set_overlap
misconception,test,misconception:01f7370dbcee577f0994,ours_full__noise0p2__budget2000,0.8,1.0,0.888888888888889,4,1,0,1.0,set_overlap
misconception,test,misconception:01f7370dbcee577f0994,ours_full__noise0p2__budget4000,0.8,1.0,0.888888888888889,4,1,0,1.0,set_overlap
misconception,test,misconception:01f7370dbcee577f0994,ours_full__noise0p4__budget1000,0.8,1.0,0.888888888888889,4,1,0,1.0,set_overlap
misconception,test,misconception:01f7370dbcee577f0994,ours_full__noise0p4__budget2000,0.8,1.0,0.888888888888889,4,1,0,1.0,set_overlap
misconception,test,misconception:01f7370dbcee577f0994,ours_full__noise0p4__budget4000,0.8,1.0,0.888888888888889,4,1,0,1.0,set_overlap
mathdial,test,mathdial:e99accc4f3e264bf3922,fixed_4__noise0p2__budget1000,0.8,1.0,0.888888888888889,4,1,0,1.0,set_overlap
mathdial,test,mathdial:e99accc4f3e264bf3922,fixed_4__noise0p2__budget2000,0.8,1.0,0.888888888888889,4,1,0,1.0,set_overlap
mathdial,test,mathdial:e99accc4f3e264bf3922,fixed_4__noise0p2__budget4000,0.8,1.0,0.888888888888889,4,1,0,1.0,set_overlap
mathdial,test,mathdial:e99accc4f3e264bf3922,fixed_4__noise0p4__budget1000,0.8,1.0,0.888888888888889,4,1,0,1.0,set_overlap
mathdial,test,mathdial:e99accc4f3e264bf3922,fixed_4__noise0p4__budget2000,0.8,1.0,0.888888888888889,4,1,0,1.0,set_overlap
mathdial,test,mathdial:e99accc4f3e264bf3922,fixed_4__noise0p4__budget4000,0.8,1.0,0.888888888888889,4,1,0,1.0,set_overlap
mathdial,test,mathdial:e99accc4f3e264bf3922,debate__noise0p2__budget1000,0.2,0.25,0.22222222222222224,1,4,3,1.0,set_overlap
mathdial,test,mathdial:e99accc4f3e264bf3922,debate__noise0p2__budget2000,0.2,0.25,0.22222222222222224,1,4,3,1.0,set_overlap
mathdial,test,mathdial:e99accc4f3e264bf3922,debate__noise0p2__budget4000,0.2,0.25,0.22222222222222224,1,4,3,1.0,set_overlap
mathdial,test,mathdial:e99accc4f3e264bf3922,debate__noise0p4__budget1000,0.2,0.25,0.22222222222222224,1,4,3,1.0,set_overlap
mathdial,test,mathdial:e99accc4f3e264bf3922,debate__noise0p4__budget2000,0.2,0.25,0.22222222222222224,1,4,3,1.0,set_overlap
mathdial,test,mathdial:e99accc4f3e264bf3922,debate__noise0p4__budget4000,0.2,0.25,0.22222222222222224,1,4,3,1.0,set_overlap
mathdial,test,mathdial:e99accc4f3e264bf3922,generic_sparse__noise0p2__budget1000,0.75,0.75,0.75,3,1,1,1.0,set_overlap
mathdial,test,mathdial:e99accc4f3e264bf3922,generic_sparse__noise0p2__budget2000,0.75,0.75,0.75,3,1,1,1.0,set_overlap
mathdial,test,mathdial:e99accc4f3e264bf3922,generic_sparse__noise0p2__budget4000,0.75,0.75,0.75,3,1,1,1.0,set_overlap
mathdial,test,mathdial:e99accc4f3e264bf3922,generic_sparse__noise0p4__budget1000,0.75,0.75,0.75,3,1,1,1.0,set_overlap
mathdial,test,mathdial:e99accc4f3e264bf3922,generic_sparse__noise0p4__budget2000,0.75,0.75,0.75,3,1,1,1.0,set_overlap
mathdial,test,mathdial:e99accc4f3e264bf3922,generic_sparse__noise0p4__budget4000,0.75,0.75,0.75,3,1,1,1.0,set_overlap
mathdial,test,mathdial:e99accc4f3e264bf3922,ours_full__noise0p2__budget1000,0.8,1.0,0.888888888888889,4,1,0,1.0,set_overlap
mathdial,test,mathdial:e99accc4f3e264bf3922,ours_full__noise0p2__budget2000,0.8,1.0,0.888888888888889,4,1,0,1.0,set_overlap
mathdial,test,mathdial:e99accc4f3e264bf3922,ours_full__noise0p2__budget4000,0.8,1.0,0.888888888888889,4,1,0,1.0,set_overlap
mathdial,test,mathdial:e99accc4f3e264bf3922,ours_full__noise0p4__budget1000,0.8,1.0,0.888888888888889,4,1,0,1.0,set_overlap
mathdial,test,mathdial:e99accc4f3e264bf3922,ours_full__noise0p4__budget2000,0.8,1.0,0.888888888888889,4,1,0,1.0,set_overlap
mathdial,test,mathdial:e99accc4f3e264bf3922,ours_full__noise0p4__budget4000,0.8,1.0,0.888888888888889,4,1,0,1.0,set_overlap
bridge,test,bridge:01f00b178dae75865fd7,fixed_4__noise0p2__budget1000,0.8,1.0,0.888888888888889,4,1,0,1.0,set_overlap
bridge,test,bridge:01f00b178dae75865fd7,fixed_4__noise0p2__budget2000,0.8,1.0,0.888888888888889,4,1,0,1.0,set_overlap
bridge,test,bridge:01f00b178dae75865fd7,fixed_4__noise0p2__budget4000,0.8,1.0,0.888888888888889,4,1,0,1.0,set_overlap
bridge,test,bridge:01f00b178dae75865fd7,fixed_4__noise0p4__budget1000,0.8,1.0,0.888888888888889,4,1,0,1.0,set_overlap
bridge,test,bridge:01f00b178dae75865fd7,fixed_4__noise0p4__budget2000,0.8,1.0,0.888888888888889,4,1,0,1.0,set_overlap
bridge,test,bridge:01f00b178dae75865fd7,fixed_4__noise0p4__budget4000,0.8,1.0,0.888888888888889,4,1,0,1.0,set_overlap
bridge,test,bridge:01f00b178dae75865fd7,debate__noise0p2__budget1000,0.2,0.25,0.22222222222222224,1,4,3,1.0,set_overlap
bridge,test,bridge:01f00b178dae75865fd7,debate__noise0p2__budget2000,0.2,0.25,0.22222222222222224,1,4,3,1.0,set_overlap
bridge,test,bridge:01f00b178dae75865fd7,debate__noise0p2__budget4000,0.2,0.25,0.22222222222222224,1,4,3,1.0,set_overlap
bridge,test,bridge:01f00b178dae75865fd7,debate__noise0p4__budget1000,0.2,0.25,0.22222222222222224,1,4,3,1.0,set_overlap
bridge,test,bridge:01f00b178dae75865fd7,debate__noise0p4__budget2000,0.2,0.25,0.22222222222222224,1,4,3,1.0,set_overlap
bridge,test,bridge:01f00b178dae75865fd7,debate__noise0p4__budget4000,0.2,0.25,0.22222222222222224,1,4,3,1.0,set_overlap
bridge,test,bridge:01f00b178dae75865fd7,generic_sparse__noise0p2__budget1000,0.75,0.75,0.75,3,1,1,1.0,set_overlap
bridge,test,bridge:01f00b178dae75865fd7,generic_sparse__noise0p2__budget2000,0.75,0.75,0.75,3,1,1,1.0,set_overlap
bridge,test,bridge:01f00b178dae75865fd7,generic_sparse__noise0p2__budget4000,0.75,0.75,0.75,3,1,1,1.0,set_overlap
bridge,test,bridge:01f00b178dae75865fd7,generic_sparse__noise0p4__budget1000,0.75,0.75,0.75,3,1,1,1.0,set_overlap
bridge,test,bridge:01f00b178dae75865fd7,generic_sparse__noise0p4__budget2000,0.75,0.75,0.75,3,1,1,1.0,set_overlap
bridge,test,bridge:01f00b178dae75865fd7,generic_sparse__noise0p4__budget4000,0.75,0.75,0.75,3,1,1,1.0,set_overlap
bridge,test,bridge:01f00b178dae75865fd7,ours_full__noise0p2__budget1000,0.8,1.0,0.888888888888889,4,1,0,1.0,set_overlap
bridge,test,bridge:01f00b178dae75865fd7,ours_full__noise0p2__budget2000,0.8,1.0,0.888888888888889,4,1,0,1.0,set_overlap
bridge,test,bridge:01f00b178dae75865fd7,ours_full__noise0p2__budget4000,0.8,1.0,0.888888888888889,4,1,0,1.0,set_overlap
bridge,test,bridge:01f00b178dae75865fd7,ours_full__noise0p4__budget1000,0.8,1.0,0.888888888888889,4,1,0,1.0,set_overlap
bridge,test,bridge:01f00b178dae75865fd7,ours_full__noise0p4__budget2000,0.8,1.0,0.888888888888889,4,1,0,1.0,set_overlap
bridge,test,bridge:01f00b178dae75865fd7,ours_full__noise0p4__budget4000,0.8,1.0,0.888888888888889,4,1,0,1.0,set_overlap
misconception,test,misconception:03284f2544d557233213,fixed_4__noise0p2__budget1000,0.8,1.0,0.888888888888889,4,1,0,1.0,set_overlap
